date,event,value,surprise_z,surprise,regime,confidence,y10_1d,y10_5d,y10_21d,curve_1d,curve_5d,y2_1d,y2_5d,sp500_1d
2012-12-01,CPI_MOM,-0.012,-0.82,MISS,DEFLATION_RISK,LOW,1.0,2.0,24.0,1.0,2.0,0.0,0.0,
2013-01-01,CPI_MOM,0.198,0.066,INLINE,GOLDILOCKS,MEDIUM,8.0,11.0,24.0,6.0,11.0,2.0,0.0,
2013-02-01,CPI_MOM,0.543,1.349,BEAT,GOLDILOCKS,MEDIUM,-4.0,-5.0,-14.0,-2.0,-3.0,-2.0,-2.0,
2013-03-01,CPI_MOM,-0.281,-1.277,MISS,GOLDILOCKS,MEDIUM,2.0,20.0,2.0,3.0,18.0,-1.0,2.0,
2013-04-01,CPI_MOM,-0.209,-0.698,MISS,GOLDILOCKS,MEDIUM,2.0,-10.0,-16.0,-0.0,-11.0,2.0,1.0,
2013-05-01,CPI_MOM,0.041,0.021,INLINE,GOLDILOCKS,MEDIUM,0.0,15.0,50.0,0.0,13.0,0.0,2.0,
2013-06-01,CPI_MOM,0.238,0.405,INLINE,GOLDILOCKS,MEDIUM,-3.0,1.0,34.0,-3.0,-1.0,0.0,2.0,
2013-07-01,CPI_MOM,0.196,-0.004,INLINE,GOLDILOCKS,MEDIUM,-2.0,15.0,10.0,-2.0,12.0,0.0,3.0,
2013-08-01,CPI_MOM,0.239,0.161,INLINE,GOLDILOCKS,MEDIUM,-11.0,-16.0,4.0,-6.0,-11.0,-5.0,-5.0,
2013-09-01,CPI_MOM,0.038,-0.343,INLINE,GOLDILOCKS,HIGH,8.0,12.0,-12.0,4.0,6.0,4.0,6.0,
2013-10-01,CPI_MOM,0.054,0.026,INLINE,GOLDILOCKS,HIGH,-3.0,0.0,-9.0,-1.0,-7.0,-2.0,7.0,
2013-11-01,CPI_MOM,0.184,0.3,INLINE,GOLDILOCKS,HIGH,-2.0,12.0,19.0,-1.0,13.0,-1.0,-1.0,
2013-12-01,CPI_MOM,0.264,0.339,INLINE,GOLDILOCKS,HIGH,6.0,13.0,29.0,4.0,11.0,2.0,2.0,
